SingleMemberNumber,AssemblyNumber,OrderNumber,Designation,Annotation,Storey,Group,Package,Material,TimberGrade,QualityGrade,Count,Length,Height,Width,PlaningLength,StartOffset,EndOffset,Weight,StoreyType,ElementNumber,Layer,ModuleNumber,"UserAtrributes (Name,Value)","GainDirection(X,Y,Z,Align)","Reference Side(Side,Align)"
300,300,300,OSB Platte, ,DG 0,W 1 / G 0, ,OSB,OSB,OSB,1,1755.67386,1250.00000,15.00000,1755.67386,0.00000,0.00000,0,,,0,,"(BV_UID , 000033)","(1 , 0 , 0 , yes)","(3 , no)"
301,301,301,OSB Platte, ,DG 0,W 1 / G 0, ,OSB,OSB,OSB,1,1873.62446,1250.00000,15.00000,1873.62446,0.00000,0.00000,0,,,0,,"(BV_UID , 000034)","(1 , 0 , 0 , yes)","(3 , no)"
302,302,302,OSB Platte, ,DG 0,W 1 / G 0, ,OSB,OSB,OSB,1,1638.85739,1250.00000,15.00000,1638.85739,0.00000,0.00000,0,,,0,,"(BV_UID , 000035)","(1 , 0 , 0 , yes)","(3 , no)"
303,303,303,OSB Platte, ,DG 0,W 1 / G 0, ,OSB,OSB,OSB,1,1133.82461,750.00000,15.00000,1133.82461,0.00000,0.00000,0,,,0,,"(BV_UID , 000036)","(1 , 0 , 0 , yes)","(3 , no)"
304,304,304,OSB Platte, ,DG 0,W 2 / G 0, ,OSB,OSB,OSB,1,1537.90555,1250.00000,15.00000,1537.90555,0.00000,0.00000,0,,,0,,"(BV_UID , 000037)","(1 , 0 , 0 , yes)","(3 , no)"
305,305,305,OSB Platte, ,DG 0,W 2 / G 0, ,OSB,OSB,OSB,1,1537.90809,1250.00000,15.00000,1537.90809,0.00000,0.00000,0,,,0,,"(BV_UID , 000038)","(1 , 0 , 0 , yes)","(3 , no)"
306,306,306,OSB Platte, ,DG 0,W 2 / G 0, ,OSB,OSB,OSB,1,1537.91063,1250.00000,15.00000,1537.91063,0.00000,0.00000,0,,,0,,"(BV_UID , 000039)","(1 , 0 , 0 , yes)","(3 , no)"
307,307,307,OSB Platte, ,DG 0,W 2 / G 0, ,OSB,OSB,OSB,1,1537.91316,750.00000,15.00000,1537.91316,0.00000,0.00000,0,,,0,,"(BV_UID , 000040)","(1 , 0 , 0 , yes)","(3 , no)"
308,308,308,OSB Platte, ,DG 0,W 3 / G 0, ,OSB,OSB,OSB,1,1335.83772,1250.00000,15.00000,1335.83772,0.00000,0.00000,0,,,0,,"(BV_UID , 000041)","(1 , 0 , 0 , yes)","(3 , no)"
309,309,309,OSB Platte, ,DG 0,W 3 / G 0, ,OSB,OSB,OSB,1,1840.87051,1250.00000,15.00000,1840.87051,0.00000,0.00000,0,,,0,,"(BV_UID , 000042)","(1 , 0 , 0 , yes)","(3 , no)"
310,310,310,OSB Platte, ,DG 0,W 3 / G 0, ,OSB,OSB,OSB,1,1873.62446,1250.00000,15.00000,1873.62446,0.00000,0.00000,0,,,0,,"(BV_UID , 000043)","(1 , 0 , 0 , yes)","(3 , no)"
311,311,311,OSB Platte, ,DG 0,W 3 / G 0, ,OSB,OSB,OSB,1,1667.51037,750.00000,15.00000,1667.51037,0.00000,0.00000,0,,,0,,"(BV_UID , 000044)","(1 , 0 , 0 , yes)","(3 , no)"
312,312,312,OSB Platte, ,DG 0,W 4 / G 0, ,OSB,OSB,OSB,3,836.86549,1250.00000,15.00000,836.86549,0.00000,0.00000,0,,,0,,"(BV_UID , 000045) , (BV_UID , 000045 , BV_UID , 000046) , (BV_UID , 000045 , BV_UID , 000046 , BV_UID , 000047)","(1 , 0 , 0 , yes)","(3 , no)"
313,313,313,OSB Platte, ,DG 0,W 4 / G 0, ,OSB,OSB,OSB,1,836.85935,750.00000,15.00000,836.85935,0.00000,0.00000,0,,,0,,"(BV_UID , 000048)","(1 , 0 , 0 , yes)","(3 , no)"
