"FreeCountour(CounterSink , ToolID , ToolPosition , ReferencePlaneID , Name)","CountourStartPoint(X,Y,Z)",ContourLineInclination,"ContourLineEndpoint(X,Y,Z)"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (770.64993,1250.00000,-0.00000) , (1070.64993,1250.00000,-0.00000) , (1535.26513,-0.00000,-0.00000) , (1755.67386,1250.00000,-0.00000)","(0.00000) , (0.00000) , (0.00000) , (0.00000,0.00000,0.00000) , (0.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1535.26513,-0.00000,-0.00000)} , {(0.00000,1250.00000,1250.00000)} , {(1070.64993,853.60414,853.60414),(770.64993,853.60414,853.60414),(770.64993,1250.00000,1250.00000)} , {(1755.67386,1250.00000,1250.00000)} , {(1070.64993,1250.00000,1250.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (770.64993,-0.00000,-0.00000) , (1070.64993,-0.00000,-0.00000) , (1638.85739,1250.00000,-0.00000) , (1710.62722,745.93112,-0.00000) , (1755.67386,-0.00000,-0.00000) , (1873.62446,668.93112,-0.00000)","(0.00000) , (0.00000) , (0.00000,0.00000,0.00000) , (0.00000) , (0.00000) , (0.00000,0.00000,0.00000,0.00000) , (0.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(770.64993,-0.00000,-0.00000)} , {(770.64993,853.60414,853.60414),(1070.64993,853.60414,853.60414),(1070.64993,-0.00000,-0.00000)} , {(1755.67386,-0.00000,-0.00000)} , {(0.00000,1250.00000,1250.00000)} , {(1710.62722,585.93112,585.93112),(1510.62722,585.93112,585.93112),(1510.62722,745.93112,745.93112),(1710.62722,745.93112,745.93112)} , {(1873.62446,668.93112,668.93112)} , {(1638.85739,1250.00000,1250.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (1133.82461,1250.00000,-0.00000) , (1638.85739,-0.00000,-0.00000)","(0.00000) , (0.00000) , (0.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1638.85739,-0.00000,-0.00000)} , {(0.00000,1250.00000,1250.00000)} , {(1133.82461,1250.00000,1250.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,750.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (830.80494,750.00000,-0.00000) , (1133.82461,-0.00000,-0.00000)","(0.00000) , (0.00000) , (0.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1133.82461,-0.00000,-0.00000)} , {(0.00000,750.00000,750.00000)} , {(830.80494,750.00000,750.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (1537.90555,-0.00000,-0.00000) , (1537.90555,15.00079,-0.00000) , (1537.90555,95.00075,-0.00000) , (1537.90555,746.66925,-0.00000) , (1537.90555,826.66925,-0.00000) , (1537.90555,1250.00000,-0.00000)","(0.00000) , (0.00000) , (10.00000) , (0.00000,0.00000,0.00000) , (10.00000) , (0.00000,0.00000,0.00000) , (10.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1537.90555,-0.00000,-0.00000)} , {(1537.90555,15.00079,15.00079)} , {(1381.82307,15.00079,15.00079),(1381.82307,95.00075,95.00075),(1537.90555,95.00075,95.00075)} , {(1537.90555,746.66925,746.66925)} , {(1381.82307,746.66925,746.66925),(1381.82307,826.66925,826.66925),(1537.90555,826.66925,826.66925)} , {(1537.90555,1250.00000,1250.00000)} , {(0.00000,1250.00000,1250.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (1537.90809,-0.00000,-0.00000) , (1537.90809,228.33525,-0.00000) , (1537.90809,308.33525,-0.00000) , (1537.90809,960.00125,-0.00000) , (1537.90809,1040.00125,-0.00000) , (1537.90809,1250.00000,-0.00000)","(0.00000) , (0.00000) , (10.00000) , (0.00000,0.00000,0.00000) , (10.00000) , (0.00000,0.00000,0.00000) , (10.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1537.90809,-0.00000,-0.00000)} , {(1537.90809,228.33525,228.33525)} , {(1381.82307,228.33525,228.33525),(1381.82307,308.33525,308.33525),(1537.90809,308.33525,308.33525)} , {(1537.90809,960.00125,960.00125)} , {(1381.82307,960.00125,960.00125),(1381.82307,1040.00125,1040.00125),(1537.90809,1040.00125,1040.00125)} , {(1537.90809,1250.00000,1250.00000)} , {(0.00000,1250.00000,1250.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (1381.82307,1250.00000,-0.00000) , (1537.91063,-0.00000,-0.00000) , (1537.91063,441.66725,-0.00000) , (1537.91063,521.66725,-0.00000) , (1537.91063,1173.33325,-0.00000)","(0.00000) , (0.00000) , (0.00000) , (10.00000) , (0.00000,0.00000,0.00000) , (10.00000) , (0.00000,0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1537.91063,-0.00000,-0.00000)} , {(0.00000,1250.00000,1250.00000)} , {(1537.91063,441.66725,441.66725)} , {(1381.82307,441.66725,441.66725),(1381.82307,521.66725,521.66725),(1537.91063,521.66725,521.66725)} , {(1537.91063,1173.33325,1173.33325)} , {(1381.82307,1173.33325,1173.33325),(1381.82307,1250.00000,1250.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,750.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (1381.82307,-0.00000,-0.00000) , (1537.91316,3.33325,-0.00000) , (1537.91316,654.99925,-0.00000) , (1537.91316,734.99925,-0.00000) , (1537.91316,750.00000,-0.00000)","(0.00000) , (0.00000) , (0.00000,0.00000) , (10.00000) , (0.00000,0.00000,0.00000) , (10.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1381.82307,-0.00000,-0.00000)} , {(1381.82307,3.33325,3.33325),(1537.91316,3.33325,3.33325)} , {(1537.91316,654.99925,654.99925)} , {(1381.82307,654.99925,654.99925),(1381.82307,734.99925,734.99925),(1537.91316,734.99925,734.99925)} , {(1537.91316,750.00000,750.00000)} , {(0.00000,750.00000,750.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (830.80494,-0.00000,-0.00000) , (1335.83772,1250.00000,-0.00000)","(0.00000) , (0.00000) , (0.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(830.80494,-0.00000,-0.00000)} , {(1335.83772,1250.00000,1250.00000)} , {(0.00000,1250.00000,1250.00000)}"
"(no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt) , (no,0,right,4,Konturlinie Abschnitt)","(0.00000,1250.00000,-0.00000) , (0.00000,-0.00000,-0.00000) , (304.03250,1250.00000,-0.00000) , (1335.83772,-0.00000,-0.00000) , (1540.35048,1250.00000,-0.00000) , (1840.87051,1250.00000,-0.00000)","(0.00000) , (0.00000) , (0.00000) , (0.00000) , (0.00000,0.00000) , (0.00000)","{(0.00000,-0.00000,-0.00000)} , {(1335.83772,-0.00000,-0.00000)} , {(0.00000,1250.00000,1250.00000)} , {(1840.87051,1250.00000,1250.00000)} , {(304.03250,726.94239,726.94239),(304.03250,1250.00000,1250.00000)} , {(1540.35048,1250.00000,1250.00000)}"
