GUID,"RefrencePoint (X,Y,Z)","XVector (X,Y,Z)","YVector (X,Y,Z)"
{fbd21602-51c9-4ff0-8ddc-a48567e0862b},"(1722.48649 , 6433.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , -1.00000 , 0.00000)"
{2b375906-3a4a-46c0-bfbb-0b0acb08ad2a},"(1722.48649 , 5183.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , -1.00000 , 0.00000)"
{0b33b452-bf8c-47c1-9186-765dd4553bea},"(1722.48649 , 3933.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , -1.00000 , 0.00000)"
{61c429b7-ce78-423b-9494-20552d664e93},"(1722.48649 , 2683.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , -1.00000 , 0.00000)"
{0996f91b-fb17-4a27-b68e-1ca808202481},"(6222.48649 , 6433.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(-1.00000 , 0.00000 , 0.00000)"
{b69ea661-3b74-425b-bc08-68bfd197d3cd},"(4972.48649 , 6433.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(-1.00000 , 0.00000 , 0.00000)"
{d36425ae-4289-4542-bb49-d843e546c57e},"(3722.48649 , 6433.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(-1.00000 , 0.00000 , 0.00000)"
{4e7e27cd-2c48-494e-9b53-b10bedc88837},"(2472.48649 , 6433.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(-1.00000 , 0.00000 , 0.00000)"
{72a8532f-15d1-4044-b023-dc3b441857ba},"(6222.48649 , 1933.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , 1.00000 , 0.00000)"
{40457d00-ad3e-4478-9e81-421b9f632a8f},"(6222.48649 , 3183.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , 1.00000 , 0.00000)"
{8468b0c9-dbd2-4dbd-a815-e28e859eac53},"(6222.48649 , 4433.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , 1.00000 , 0.00000)"
{f3fbc62e-8487-41dd-ab4c-9bec8612c451},"(6222.48649 , 5683.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(0.00000 , 1.00000 , 0.00000)"
"{ec9f62ef-2a08-4971-983b-6b22ed71736c} , {538ae236-a804-453d-9a80-3a993edc5ddc} , {bcc669d9-6861-4ed0-a96c-e7b6af24a190}","(1722.48649 , 1933.51351 , 0.00000) , (2972.48649 , 1933.51351 , 0.00000) , (4222.48649 , 1933.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000) , (0.00000 , 0.00000 , 1.00000) , (0.00000 , 0.00000 , 1.00000)","(1.00000 , 0.00000 , 0.00000) , (1.00000 , 0.00000 , 0.00000) , (1.00000 , 0.00000 , 0.00000)"
{4885a74d-58c1-42d2-8c08-b4d0a3c2aa60},"(5472.48649 , 1933.51351 , 0.00000)","(0.00000 , 0.00000 , 1.00000)","(1.00000 , 0.00000 , 0.00000)"
